TariffDateTime,Tariff
01-01-2013 00:00,Normal
01-01-2013 00:30,Normal
01-01-2013 01:00,Normal
01-01-2013 01:30,Normal
01-01-2013 02:00,Normal
01-01-2013 02:30,Normal
01-01-2013 03:00,Normal
01-01-2013 03:30,Normal
01-01-2013 04:00,Normal
01-01-2013 04:30,Normal
01-01-2013 05:00,Normal
01-01-2013 05:30,Normal
01-01-2013 06:00,Normal
01-01-2013 06:30,Normal
01-01-2013 07:00,Normal
01-01-2013 07:30,Normal
01-01-2013 08:00,Normal
01-01-2013 08:30,Normal
01-01-2013 09:00,Normal
01-01-2013 09:30,Normal
01-01-2013 10:00,Normal
01-01-2013 10:30,Normal
01-01-2013 11:00,Normal
01-01-2013 11:30,Normal
01-01-2013 12:00,Normal
01-01-2013 12:30,Normal
01-01-2013 13:00,Normal
01-01-2013 13:30,Normal
01-01-2013 14:00,Normal
01-01-2013 14:30,Normal
01-01-2013 15:00,Normal
01-01-2013 15:30,Normal
01-01-2013 16:00,Normal
01-01-2013 16:30,Normal
01-01-2013 17:00,Normal
01-01-2013 17:30,Normal
01-01-2013 18:00,Normal
01-01-2013 18:30,Normal
01-01-2013 19:00,Normal
01-01-2013 19:30,Normal
01-01-2013 20:00,Normal
01-01-2013 20:30,Normal
01-01-2013 21:00,Normal
01-01-2013 21:30,Normal
01-01-2013 22:00,Normal
01-01-2013 22:30,Normal
01-01-2013 23:00,Normal
01-01-2013 23:30,Normal
02-01-2013 00:00,Normal
02-01-2013 00:30,Normal
02-01-2013 01:00,Normal
02-01-2013 01:30,Normal
02-01-2013 02:00,Normal
02-01-2013 02:30,Normal
02-01-2013 03:00,Normal
02-01-2013 03:30,Normal
02-01-2013 04:00,Normal
02-01-2013 04:30,Normal
02-01-2013 05:00,Normal
02-01-2013 05:30,Normal
02-01-2013 06:00,Normal
02-01-2013 06:30,Normal
02-01-2013 07:00,Normal
02-01-2013 07:30,Normal
02-01-2013 08:00,Normal
02-01-2013 08:30,Normal
02-01-2013 09:00,Normal
02-01-2013 09:30,Normal
02-01-2013 10:00,Normal
02-01-2013 10:30,Normal
02-01-2013 11:00,Normal
02-01-2013 11:30,Normal
02-01-2013 12:00,Normal
02-01-2013 12:30,Normal
02-01-2013 13:00,Normal
02-01-2013 13:30,Normal
02-01-2013 14:00,Normal
02-01-2013 14:30,Normal
02-01-2013 15:00,Normal
02-01-2013 15:30,Normal
02-01-2013 16:00,Normal
02-01-2013 16:30,Normal
02-01-2013 17:00,Normal
02-01-2013 17:30,Normal
02-01-2013 18:00,Normal
02-01-2013 18:30,Normal
02-01-2013 19:00,Normal
02-01-2013 19:30,Normal
02-01-2013 20:00,Normal
02-01-2013 20:30,Normal
02-01-2013 21:00,Normal
02-01-2013 21:30,Normal
02-01-2013 22:00,Normal
02-01-2013 22:30,Normal
02-01-2013 23:00,Normal
02-01-2013 23:30,Normal
03-01-2013 00:00,Normal
03-01-2013 00:30,Normal
03-01-2013 01:00,Normal
03-01-2013 01:30,Normal
03-01-2013 02:00,Normal
03-01-2013 02:30,Normal
03-01-2013 03:00,Normal
03-01-2013 03:30,Normal
03-01-2013 04:00,Normal
03-01-2013 04:30,Normal
03-01-2013 05:00,Normal
03-01-2013 05:30,Normal
03-01-2013 06:00,Normal
03-01-2013 06:30,Normal
03-01-2013 07:00,Normal
03-01-2013 07:30,Normal
03-01-2013 08:00,Normal
03-01-2013 08:30,Normal
03-01-2013 09:00,Normal
03-01-2013 09:30,Normal
03-01-2013 10:00,Normal
03-01-2013 10:30,Normal
03-01-2013 11:00,Normal
03-01-2013 11:30,Normal
03-01-2013 12:00,Normal
03-01-2013 12:30,Normal
03-01-2013 13:00,Normal
03-01-2013 13:30,Normal
03-01-2013 14:00,Normal
03-01-2013 14:30,Normal
03-01-2013 15:00,Normal
03-01-2013 15:30,Normal
03-01-2013 16:00,Normal
03-01-2013 16:30,Normal
03-01-2013 17:00,Normal
03-01-2013 17:30,Normal
03-01-2013 18:00,Normal
03-01-2013 18:30,Normal
03-01-2013 19:00,Normal
03-01-2013 19:30,Normal
03-01-2013 20:00,Normal
03-01-2013 20:30,Normal
03-01-2013 21:00,Normal
03-01-2013 21:30,Normal
03-01-2013 22:00,Normal
03-01-2013 22:30,Normal
03-01-2013 23:00,Normal
03-01-2013 23:30,Normal
04-01-2013 00:00,Normal
04-01-2013 00:30,Normal
04-01-2013 01:00,Normal
04-01-2013 01:30,Normal
04-01-2013 02:00,Normal
04-01-2013 02:30,Normal
04-01-2013 03:00,Normal
04-01-2013 03:30,Normal
04-01-2013 04:00,Normal
04-01-2013 04:30,Normal
04-01-2013 05:00,Normal
