,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,cluster
House_14,0.312,0.119,0.115,0.118,0.119,0.122,0.12,0.119,0.127,0.112,0.13,0.111,0.169,0.137,0.356,1.074,0.53,0.97,0.347,0.372,0.45,0.855,0.504,0.772,0.409,0.338,0.277,0.377,0.484,0.511,0.549,1.367,1.245,2.03,1.418,0.932,1.141,1.739,1.681,1.637,1.095,1.084,0.845,0.746,0.76,0.266,0.185,0.19,1
House_15,0.153,0.335,0.324,0.306,0.38,0.339,0.334,0.325,0.334,0.355,0.319,0.354,0.423,0.76,0.705,0.873,0.733,0.486,0.453,1.319,0.655,0.425,1.673,1.641,0.572,0.332,0.307,0.32,0.376,0.295,0.326,0.351,0.316,0.315,0.342,1.427,2.089,2.2620001,2.6259999,2.3789999,2.3139999,1.886,2.1070001,1.957,0.335,0.383,0.318,0.308,1
House_19,0.176,0.502,0.447,0.318,0.546,0.408,0.339,0.581,0.323,0.426,0.524,0.284,0.516,0.562,0.378,0.627,0.44,0.409,0.486,0.34,0.386,0.893,0.381,0.778,0.819,0.217,0.632,0.725,0.513,0.774,0.747,0.496,0.752,0.541,0.653,0.83,0.496,0.971,1.052,0.968,0.878,0.369,0.52,0.419,0.292,0.537,0.33,0.42,1
House_21,0.362,0.353,0.416,0.384,0.361,0.365,0.428,0.353,0.367,0.402,0.382,0.354,0.378,0.457,0.393,0.396,0.38,0.544,0.434,0.432,0.412,1.0039999,0.53,0.629,0.768,1.067,0.664,0.524,0.493,0.463,0.499,0.52,0.499,0.537,0.577,1.52,1.3430001,0.963,0.607,0.649,1.1339999,0.443,0.449,0.43,0.391,0.328,0.428,0.356,1
House_22,0.08,0.509,0.566,0.587,0.349,0.614,0.558,0.646,0.614,0.653,0.606,0.671,0.624,0.785,0.667,0.651,0.677,0.548,0.99,0.717,0.261,0.25,1.472,0.84,0.34,0.422,0.708,0.469,0.403,0.368,0.899,0.541,0.823,0.877,1.726,1.4680001,1.011,1.082,0.927,0.542,0.546,0.482,0.491,0.447,0.984,1.498,1.008,0.481,1
House_38,0.101,0.317,0.244,0.235,0.236,0.247,0.237,0.231,0.243,0.229,0.106,0.203,0.21,0.201,0.24,0.355,0.426,0.369,0.422,0.343,0.75,1.087,1.046,0.702,0.695,1.075,0.836,1.673,1.2640001,1.036,0.537,0.926,0.789,0.947,0.644,1.0549999,1.123,1.603,1.563,1.465,1.069,0.828,0.833,0.842,0.603,0.469,0.313,0.411,1
House_39,0.143,0.154,0.101,0.151,0.105,0.153,0.106,0.151,0.107,0.15,0.124,0.146,0.155,0.337,0.223,0.242,0.378,0.369,0.155,0.135,0.135,0.326,0.205,0.365,0.27,0.139,0.526,0.168,0.144,0.106,0.174,0.124,0.231,0.187,1.255,1.3200001,1.566,1.664,2.112,2.039,1.896,1.1339999,0.917,0.894,0.639,0.421,0.311,0.169,1
House_54,0.085,0.289,0.375,0.335,0.335,0.408,0.309,0.288,0.301,0.308,0.116,0.289,0.465,0.085,1.308,0.94,0.879,0.642,0.498,0.559,0.657,0.369,0.395,1.2130001,1.217,1.286,1.918,1.152,0.597,0.961,0.544,0.533,0.534,0.469,0.566,0.587,1.127,2.1889999,1.321,1.307,0.826,0.487,0.642,0.552,0.484,0.78,0.318,0.252,1
House_71,0.045,0.18,0.183,0.199,0.172,0.178,0.21,0.155,0.208,0.167,0.178,0.158,0.268,0.069,0.243,0.582,0.451,1.059,0.429,0.333,0.473,0.202,0.296,1.26,1.8890001,0.842,0.991,0.323,0.253,1.091,0.489,0.553,0.269,0.279,2.3469999,1.402,1.124,1.587,1.932,1.842,1.015,1.2079999,1.816,1.219,0.556,0.386,0.237,0.189,1
House_83,0.705,0.282,0.343,0.279,0.325,0.239,0.297,0.274,0.331,0.285,0.211,0.247,0.294,0.235,0.334,0.265,0.298,0.524,0.485,0.397,0.363,0.369,0.342,0.328,0.542,0.705,2.345,3.332,1.446,1.268,1.235,3.5810001,1.449,0.988,0.86,1.013,1.295,1.272,1.063,1.158,1.222,1.39,1.402,1.355,1.178,1.283,1.345,0.588,1
